序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,2连板日期
4,000801,四川九洲,9.992486953735352,14.64,379191728,14973889297.44,14973889209.6,2.532352924346924,328805996,092500,092500,0,2/2,2,家电行业,20241119
7,600889,南京化纤,10.0,8.47,2717244,3102950704.7000003,3102950755.5200005,0.08756966888904572,596685175,092501,092501,0,2/2,2,化纤行业,20241119
10,603004,鼎龙科技,10.023752212524414,23.16,173407607,1363660800.0,5454643200.0,12.716368675231934,141491388,093002,093002,0,2/2,2,化学原料,20241119
11,002227,奥 特 迅,9.964412689208984,12.36,136032954,3060814739.8799996,3062884261.2,4.508322238922119,87354893,093024,093024,0,2/2,2,电源设备,20241119
24,000605,渤海股份,9.956709861755371,10.16,442216032,3379609364.7200003,3583011457.28,13.558732986450195,46765260,093436,134939,2,11/7,2,公用事业,20241119
25,605028,世茂能源,10.019454956054688,22.62,187827544,3619200000.0,3619200000.0,5.422943592071533,58620861,093459,093735,2,2/2,2,电力行业,20241119
55,000949,新乡化纤,9.975668907165527,4.52,890856032,6627547324.639999,7685491238.4,14.000775337219238,24567104,102403,104200,5,2/2,2,化纤行业,20241119
7,001229,魅视科技,10.016977310180664,32.4,151346099,952751451.5999999,3240000000.0,15.959846496582031,65794680,092500,093054,1,2/2,2,计算机设,20241120
9,002693,双成药业,10.008070945739746,27.26,149632866,11214275936.960001,11304442421.44,1.3343069553375244,519938158,092500,092500,0,2/2,2,生物制品,20241120
10,603015,弘讯科技,10.034207344055176,9.65,124678338,3900713350.0,3900713427.2000003,3.196295738220215,100924525,092500,092500,0,2/2,2,专用设备,20241120
18,603527,众源新材,10.043196678161621,10.19,63941802,3229936528.0,3229936528.0,1.979661226272583,118963603,092501,092501,0,2/2,2,有色金属,20241120
20,600288,大恒科技,10.01137638092041,9.67,41923676,4223856000.0,4223856000.0,0.9925451278686523,152755665,092502,092502,0,2/2,2,电子元件,20241120
27,600470,六国化工,10.074626922607422,5.9,155344426,3077440000.0,3077440000.0,5.155453681945801,157509208,093040,093040,0,2/2,2,化肥行业,20241120
31,002403,爱仕达,9.982638359069824,12.67,300283584,3765035622.18,4315890757.92,8.100125312805176,95957106,093112,093157,1,4/3,2,家电行业,20241120
34,600650,锦江在线,10.018439292907715,17.9,730540304,6991025342.499999,9873821004.8,10.506545066833496,87606967,093134,093528,3,4/3,2,铁路公路,20241120
53,002161,远 望 谷,9.947644233703613,6.3,430449248,4494793615.2,4660471670.4,9.800832748413086,65532272,093845,093845,0,2/2,2,电子元件,20241120
88,002095,生 意 宝,9.981401443481445,17.74,408608928,4465307282.099999,4483252800.0,9.452235221862793,71114462,101451,101451,0,2/2,2,互联网服,20241120
8,002467,二六三,9.960159301757812,5.52,1635717888,7525839345.36,7592052733.44,22.285917282104492,161370101,092500,103939,1,5/3,2,通信服务,20241121
10,002741,光华科技,9.981285095214844,17.63,84574424,6373795461.49,8198343219.5199995,1.3269083499908447,200890535,092500,092500,0,5/3,2,电子化学,20241121
11,002761,浙江建投,9.971237182617188,11.47,40196386,12402998497.94,12402998429.12,0.3240860402584076,313450095,092500,092500,0,2/2,2,工程建设,20241121
12,002862,实丰文化,9.98781967163086,27.09,17968797,2442897178.47,3250800000.0,0.7355527281761169,130197249,092500,092500,0,2/2,2,家用轻工,20241121
25,002175,东方智造,10.029498100280762,3.73,439654400,4762364136.71,4762392085.6,9.37820816040039,125413193,093033,093051,1,2/2,2,仪器仪表,20241121
28,003036,泰坦股份,9.970674514770508,11.25,66678048,2430075667.5,2430075667.5,2.8079681396484375,112658625,093048,093048,0,2/2,2,专用设备,20241121
33,002127,南极电商,9.887005805969238,3.89,364978208,7759399326.33,9549445856.0,4.8278422355651855,109508168,093209,093209,0,2/2,2,贸易行业,20241121
44,600327,大东方,9.980039596557617,5.51,1173327072,4875135144.179999,4875135155.2,24.4454402923584,59995971,093822,145555,6,4/3,2,医疗服务,20241121
62,002103,广博股份,10.050251007080078,8.76,847253632,3303178646.88,4680231129.599999,26.625579833984375,43668600,095657,102642,5,5/3,2,家用轻工,20241121
9,002155,湖南黄金,9.982068061828613,18.4,686850368,22115287832.8,22117526284.8,3.105771780014038,929433017,092500,092500,0,2/2,2,贵金属,20241122
10,600105,永鼎股份,10.0,6.05,517000640,8616422850.199999,8541312850.4,6.000176906585693,118750912,092500,092500,0,2/2,2,通信设备,20241122
21,600405,动力源,9.93914794921875,5.42,260389874,2998752928.16,3321536345.2799997,8.689724922180176,27358019,093022,093022,0,2/2,2,电源设备,20241122
45,300822,贝仕达克,19.974716186523438,18.98,472574832,5484879081.24,5912957227.84,9.33933162689209,65705514,094051,094051,0,2/2,2,消费电子,20241122
55,600410,华胜天成,10.015897750854492,6.92,1798323264,7587743206.36,7587743240.96,24.168933868408203,28578492,100257,145651,12,2/2,2,互联网服,20241122
