序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,2连板日期
20,600148,长春一东,10.022883415222168,24.04,168772782,3402055458.0,3402055458.0,5.006814956665039,44024452,093150,093553,2,2/2,2,汽车零部,20241119
8,002667,威领股份,10.0,11.88,163302636,2804693661.0,2879367480.0,5.852417945861816,44947980,092500,093054,1,8/4,2,能源金属,20241120
23,603895,天永智能,10.009532928466797,23.08,62711781,2494486400.0,2494486400.0,2.5144753456115723,47910733,093001,093001,0,2/2,2,专用设备,20241120
32,002194,武汉凡谷,10.034130096435547,16.12,622737616,8208846405.76,11014567224.960001,7.767606735229492,291421680,093127,093127,0,5/3,2,通信设备,20241120
35,603915,国茂股份,10.017271041870117,12.74,313314528,8365497795.2,8396786623.68,3.783785343170166,37826079,093159,093950,3,2/2,2,通用设备,20241120
39,603662,柯力传感,10.011861801147461,46.37,886134000,13022080979.16,13060547490.88,6.911996841430664,132486323,093253,093535,1,2/2,2,仪器仪表,20241120
48,603706,东方环宇,9.994654655456543,20.58,331841488,3897496254.12,3897496254.12,8.692652702331543,20761104,093620,102841,2,2/2,2,燃气,20241120
50,002006,精工科技,10.02656078338623,16.57,593699040,7542001200.0,7542001200.0,8.070487022399902,65118443,093703,094842,1,2/2,2,专用设备,20241120
59,300222,科大智能,20.01897621154785,12.65,1811173904,8042421038.85,9870064336.0,23.503719329833984,159373959,094406,094430,1,2/2,2,电网设备,20241120
64,603901,永创智能,10.0401611328125,8.22,546339072,3977169534.7200003,4009044064.32,14.059526443481445,60239037,094951,101221,3,2/2,2,专用设备,20241120
121,003021,兆威机电,10.007843017578125,70.13,1418532192,14460608233.4,16845471454.999998,10.123214721679688,15185669,112451,142818,2,8/4,2,电机,20241120
122,873152,天宏锂电,29.954614639282227,25.77,600156288,1445554852.68,2645307637.05,49.34962463378906,45722705,112618,112906,1,2/2,2,电池,20241120
131,603268,松发股份,10.011148452758789,49.34,523696048,6126488592.0,6126488592.0,8.934738159179688,25192362,130937,133604,2,25/16,2,装修建材,20241120
141,002583,海能达,10.009182929992676,23.96,11833290752,30730282534.04,43570406640.64,41.58583450317383,452369759,140412,140412,0,29/15,2,通信设备,20241120
152,300607,拓斯达,20.007862091064453,30.53,4217218896,9538659020.65,13790951516.960001,48.143272399902344,154287903,143448,143448,0,2/2,2,通用设备,20241120
7,002324,普利特,10.039369583129883,11.18,742207472,8667064535.48,12454640386.24,8.628355026245117,86673855,092500,094648,2,2/2,2,塑料制品,20241121
9,002469,三维化学,9.960159301757812,11.04,99677952,6943059433.44,7163443368.959999,1.435648798942566,583425360,092500,092500,0,7/6,2,化学原料,20241121
20,603366,日出东方,10.016834259033203,13.07,832457696,10626538680.07,10629543460.0,7.851687431335449,254441532,092501,093055,1,14/12,2,家电行业,20241121
30,600935,华塑股份,9.929078102111816,3.1,217243684,5749573794.400001,10872945604.800001,3.8471126556396484,49493360,093113,093146,1,2/2,2,化学原料,20241121
35,002553,南方精工,10.0,17.16,1609978368,4303728000.0,5971680000.0,38.0889778137207,71020092,093309,111557,4,2/2,2,汽车零部,20241121
48,836957,汉维科技,29.986520767211914,19.29,219393402,823774318.86,2069842732.86,27.88077735900879,9186457,093955,103131,13,2/2,2,化学原料,20241121
52,300904,威力传动,20.0,72.72,765672336,1598620631.04,5263708631.04,50.090206146240234,15076310,094303,143400,4,2/2,2,风电设备,20241121
55,002402,和而泰,9.98580265045166,23.24,9000635136,18624100203.52,21501468773.12,49.4752197265625,133421235,094348,145036,9,9/7,2,消费电子,20241121
61,002556,辉隆股份,10.047096252441406,7.01,768919264,6532285471.21,6635091740.8,12.15447998046875,35863160,095545,144906,4,2/2,2,化肥行业,20241121
73,002354,天娱数科,10.061601638793945,5.36,1709988352,8674468463.52,8868580016.640001,20.60049819946289,72335837,103303,103303,0,5/3,2,互联网服,20241121
76,834407,驰诚股份,29.97867774963379,30.48,190203282,787943052.0,2001926400.0,26.957691192626953,9890973,103752,105449,1,2/2,2,仪器仪表,20241121
77,002878,元隆雅图,10.035087585449219,15.68,1027780256,3663229055.36,4092452199.36,29.286169052124023,54041747,104000,144045,5,2/2,2,文化传媒,20241121
88,000679,大连友谊,10.103093147277832,5.34,248763789,1903176000.0,1903176000.0,13.961868286132812,26551014,130106,130106,0,6/3,2,商业百货,20241121
111,002792,通宇通讯,10.029850959777832,18.43,1482324128,5783438645.54,9629286348.16,26.9271297454834,89043807,144430,144430,0,2/2,2,通信设备,20241121
28,003040,楚天龙,10.022107124328613,14.93,980804688,6820774351.94,6884760002.24,14.488675117492676,12604861,093139,144924,20,2/2,2,通信设备,20241122
37,600367,红星发展,10.0,14.52,949005456,4675050602.639999,4953220609.92,20.504079818725586,45826557,093626,145539,6,2/2,2,化学原料,20241122
46,000626,远大控股,10.014513969421387,7.58,455267040,3805334605.3,3857768717.12,12.161327362060547,1429724,094345,145551,18,2/2,2,贸易行业,20241122
57,838262,太湖雪,30.000001907348633,30.29,279821792,770657414.15,1610360519.82,41.01512145996094,2827238,102444,145538,12,2/2,2,纺织服装,20241122
73,603333,尚纬股份,9.956709861755371,5.08,592804304,3157360136.88,3157360126.7200003,19.792922973632812,3956812,141755,145637,2,2/2,2,电网设备,20241122
11,002117,东港股份,9.957627296447754,10.38,39924376,5434497578.400001,5436223564.8,0.7346470355987549,219842389,092500,092500,0,2/2,2,造纸印刷,20241125
12,000695,滨海能源,10.019518852233887,16.91,857490752,3749291355.2400002,3756514884.4900002,23.109004974365234,20758699,092500,140551,16,10/6,2,造纸印刷,20241125
19,603359,东珠生态,9.966776847839355,6.62,218693245,2953155520.0,2953155520.0,7.458734035491943,66914549,092502,093335,1,4/3,2,环保行业,20241125
24,601133,柏诚股份,9.97624683380127,13.89,65424900,2048775000.0,7324642368.96,3.193366765975952,145464191,092503,092503,0,2/2,2,工程建设,20241125
26,600775,南京熊猫,10.036166191101074,12.17,324820368,8176274897.93,11121414885.76,3.972726345062256,376063867,093001,093001,0,2/2,2,通信设备,20241125
31,000548,湖南投资,9.9827880859375,6.39,195478224,3189816502.29,3189989013.12,6.237240791320801,90459574,093024,093024,0,2/2,2,铁路公路,20241125
32,600228,返利科技,10.0130033493042,8.46,217962253,3525022777.1400003,3547044368.6400003,6.305689334869385,109730430,093025,093025,0,9/5,2,互联网服,20241125
43,002640,跨境通,10.05747127532959,3.83,1069726208,5465019198.29,5967298286.24,19.95572853088379,183792508,093203,093545,2,2/2,2,贸易行业,20241125
48,603585,苏利股份,10.029282569885254,15.03,294180528,2705434418.7,2763299918.7,11.245962142944336,12895439,093302,141920,5,2/2,2,农药兽药,20241125
53,000803,山高环能,10.05385971069336,6.13,492986096,2812224680.86,2887158303.52,17.810291290283203,24868012,093336,101321,16,2/2,2,综合行业,20241125
54,603026,石大胜华,9.99526309967041,46.44,1423647168,9412459200.0,9412459200.0,15.369043350219727,26669377,093345,140333,4,2/2,2,化学制品,20241125
55,603843,正平股份,10.031347274780273,3.51,493766848,2455677561.87,2455677544.3199997,20.910354614257812,4186710,093441,144914,3,2/2,2,工程建设,20241125
56,003005,竞业达,10.01579761505127,34.82,724295968,2570450075.2400002,5167288000.0,28.786922454833984,17705970,093448,104203,5,2/2,2,互联网服,20241125
79,600333,长春燃气,9.967845916748047,6.84,587283456,4165769878.56,4165769905.92,14.684074401855469,43235256,100109,100136,1,2/2,2,燃气,20241125
87,002045,国光电器,10.017498016357422,25.15,6211866368,14130096982.3,14146450870.4,46.59743881225586,87236547,101530,144754,5,7/6,2,消费电子,20241125
117,300220,金运激光,19.973190307617188,17.9,687103872,2703246329.2,2706480000.0,27.842140197753906,38874128,111751,111751,0,2/2,2,电子元件,20241125
130,002877,智能自控,10.033822059631348,9.76,721572528,2284385232.64,3450020549.12,33.03774642944336,10335840,131921,142415,7,2/2,2,仪器仪表,20241125
139,002658,雪迪龙,10.013908386230469,7.91,501830672,2837042119.59,5028868940.4800005,18.7303524017334,2182305,133309,143421,7,2/2,2,仪器仪表,20241125
149,002638,勤上股份,9.960159301757812,2.76,412950208,3717878034.8399997,3965000411.5199995,12.232260704040527,42608029,144348,144348,0,2/2,2,光学光电,20241125
